Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2016-01-04,934.9780883789062,952.4970511180744,933.5773381551636,950.9779099979028,1870184
2016-01-05,926.8300170898438,941.6857128836768,923.693188492531,941.0543590579608,2678020
2016-01-06,939.7129516601562,941.5081776498492,927.3233299245712,927.3233299245712,2653228
2016-01-07,935.6289672851562,940.225693104389,931.190031752438,935.1357522259652,3199580
2016-01-08,946.026123046875,949.8732010932612,936.1223246206686,941.0544759621896,1907544
2016-01-11,932.1170043945312,940.6594478444296,926.7902835279624,940.0675899703664,2930228
2016-01-12,918.1890869140624,933.1630798595452,908.1472455534612,932.2555447017096,3482594
2016-01-13,899.30859375,918.1691569360864,889.7994651789967,914.2234364507574,4746092
2016-01-14,899.1509399414062,907.0817815220674,887.7872439525968,896.8624024463345,2742052
2016-01-15,892.1674194335938,904.2412733838806,889.76048999694,903.1168001863276,3269408
2016-01-18,898.6973876953125,904.3200418887776,891.7332264723417,892.5223709205474,2213922
2016-01-19,899.3479614257812,907.5155824011814,895.0076695099496,898.4404265771695,967910
2016-01-20,899.6637573242188,901.5971218101162,885.0250959387705,897.1779341773038,1615954
2016-01-21,891.7137451171875,905.7153328287546,888.2528911496669,903.7772932325454,2675536
2016-01-22,908.029052734375,910.520886500936,893.888994524529,899.0308338735639,1343178
2016-01-25,911.5491943359376,925.1355545948524,906.3480647088944,910.4614975530662,1397560
2016-01-27,917.5215454101562,921.5558917674476,902.5508459401756,910.5009580921133,1626986
2016-01-28,922.0502319335938,929.0510231248584,912.8938432615004,915.840492776686,3106660
2016-01-29,945.8216552734376,949.2627132963372,923.5733104305546,932.9274647922302,2235744
2016-02-01,950.3304443359376,954.3845864478948,933.045974839706,945.7423999817688,1495274
2016-02-02,948.5112915039062,962.3151154050784,941.2335524625656,952.8224878795044,1475588
2016-02-03,955.710205078125,961.089304746957,933.5607325776664,944.3190284793676,1308692
2016-02-04,957.1930541992188,965.0837813776006,950.0537880610642,957.9247196196508,1250046
2016-02-05,957.9447021484376,965.0641740559098,952.4667219802654,952.4667219802654,1402996
2016-02-08,934.6083374023438,954.028706680179,928.2997156987814,949.262598072891,1063658
2016-02-09,902.353271484375,922.999812655858,892.1487746140514,922.999812655858,2489610
2016-02-10,897.3695678710938,905.715110018468,893.1374582304461,899.8218101948723,1890732
2016-02-11,869.3466186523438,905.3592912951668,858.9442623534974,901.7995562048842,1962408
2016-02-12,880.6785888671875,887.3233511219838,855.9186125585161,870.1575543570866,2172568
2016-02-15,897.508056640625,912.4194686169538,885.9785088673464,889.933770067647,2479712
2016-02-16,896.0843505859375,902.5907368918348,887.1652159721233,896.2623180529787,1588702
2016-02-17,900.0397338867188,901.6613334947248,888.5100863194999,895.8669128386176,1585178
2016-02-18,915.9791259765624,917.5216390882,901.008424978088,903.7771075833764,1529140
2016-02-19,917.4820556640624,920.3892110499568,911.8656045011792,912.6171620102608,879012
2016-02-22,915.9990234375,926.7178213281444,911.6878267867576,917.7196009119194,1324884
2016-02-23,895.47119140625,917.5810642645764,892.6036268577981,913.7642755946508,1306852
2016-02-24,874.4886474609375,894.8582471076268,870.6322669453021,894.8582471076268,1659328
